model,scenario,n,r_precision,ndcg,clicks
track2vec,title_5,100,0.11274145777552802,0.2883420362588008,9.1
track2vec,no_title_5,100,0.12380896803451648,0.30696179108848803,8.03
track2vec,title_10,100,0.05767578434422473,0.20882459734431183,10.28
track2vec,no_title_10,100,0.06136380611777282,0.18928864142718904,12.39
track2vec,title_25,100,0.0796721303452063,0.24337165362512791,7.28
track2vec,title_random_25,100,0.09476970575553327,0.31681666680365017,4.15
track2vec,title_100,25,0.10233760717119993,0.24434239853634765,6.16
track2vec,title_random_100,25,0.1412599379705974,0.4113050727928211,2.64
track2vec,OVERALL,850,0.11823543086891744,0.31356713974073763,6.5
title,title_only,100,0.47443188118031765,0.7525252917809508,0.0
title,title_1,100,0.44885824188032947,0.7234342027375846,0.0
title,title_5,100,0.3085057429839908,0.567908967695697,0.35
title,no_title_5,100,0.15728955705356826,0.4290077707492535,0.4
title,title_10,100,0.21259475164283592,0.49066165317479454,0.49
title,no_title_10,100,0.1753712233758673,0.4326858399770292,0.22
title,title_25,100,0.25595477881669315,0.5169640445554853,0.36
title,title_random_25,100,0.4179687858433846,0.692516834066169,0.0
title,title_100,25,0.2657338348135964,0.5138269431764209,0.0
title,title_random_100,25,0.3934775931766352,0.6651787794069604,0.28
title,OVERALL,850,0.3077385670322994,0.576524239456801,0.2223529411764706
taste_engine,title_only,100,0.1933581759170469,0.49186004604474043,0.03
taste_engine,title_1,100,0.4378115786056964,0.665541903064127,0.04
taste_engine,title_5,100,0.30117149247109176,0.5105881795486822,1.23
taste_engine,no_title_5,100,0.31237381029481337,0.5173787918041526,0.79
taste_engine,title_10,100,0.22974640532970628,0.4048761902884827,2.8
taste_engine,no_title_10,100,0.2244332226188843,0.37929541899232966,4.64
taste_engine,title_25,100,0.2602714021532602,0.4384827927889057,1.53
taste_engine,title_random_25,100,0.42083069082663305,0.6746107849456573,0.0
taste_engine,title_100,25,0.21856147459281888,0.373861381276986,1.6
taste_engine,title_random_100,25,0.44890643728636515,0.7621189287865726,0.0
taste_engine,OVERALL,850,0.2996310301396389,0.5137210805874074,1.348235294117647
content_knn,title_only,100,0.019943440356156545,0.03503064712428685,30.85
content_knn,title_1,100,0.11981095860303582,0.35303968962685894,2.36
content_knn,title_5,100,0.07513659521814725,0.2517613259586898,8.11
content_knn,no_title_5,100,0.07789308918067332,0.25579860493560863,8.25
content_knn,title_10,100,0.04866567009272115,0.19461285998983954,9.85
content_knn,no_title_10,100,0.0399106481968324,0.1797745845027106,12.17
content_knn,title_25,100,0.09470200543340102,0.258011329940452,5.65
content_knn,title_random_25,100,0.11117389143602648,0.3404023746530049,3.42
content_knn,title_100,25,0.11992747031006395,0.2624399894914667,4.08
content_knn,title_random_100,25,0.1833431378211359,0.45239422213393754,0.84
content_knn,OVERALL,850,0.07800634712350515,0.24083999642797665,9.634117647058824
hybrid,title_only,100,0.4696373975962236,0.6978989414126865,0.0
hybrid,title_1,100,0.45019364240417525,0.6905279886500685,0.01
hybrid,title_5,100,0.36997573726369476,0.619382243706791,0.04
hybrid,no_title_5,100,0.3629222992218994,0.6024737824822347,0.12
hybrid,title_10,100,0.28737253487611447,0.5588251517238079,0.12
hybrid,no_title_10,100,0.2844621829945939,0.5510076722376541,0.27
hybrid,title_25,100,0.3238665395549167,0.6038765546596039,0.01
hybrid,title_random_25,100,0.4395596142597491,0.701469450687639,0.0
hybrid,title_100,25,0.3126705154272342,0.6113938548169164,0.0
hybrid,title_random_100,25,0.4402303957471497,0.7213723216137196,0.0
hybrid,OVERALL,850,0.37367237364293737,0.6304298034903706,0.06705882352941177
